bad;/bæd/;adj:xấu, tồi
depend;/dɪˈpend/;v:(+on, upon) phụ thuộc, tuỳ thuộc
egg;/eɡ/;n:trứng
about;/əˈbaʊt/;adv:khoảng/prep:về
bring;/brɪŋ/;v:mang, cầm, xách lại
danger;/ˈdeɪn.dʒər/;n:sự nguy hiểm, nguy cơ, mối đe dọa
branch;/brɑːntʃ/;n:ngành, nhành cây, nhánh song, ngả đường
cover;/ˈkʌv.ər/;v:bao bọc, che phủ/n:vỏ, vỏ bọc
bank;/bæŋk/;n:bờ (sông…), đê, ngân hàng
bar;/bɑːr/;n:quán bán rượu
character;/ˈkær.ək.tər/;n:tính cách, đặc tính, nhân vật
bat;/bæt/;n:con dơi, cây gậy bóng chày
above;/əˈbʌv/;prep:ở trên/adv:ở trên, lên trên
band;/bænd/;n:băng, đai, nẹp
dance;/dɑːns/;n:sự nhảy múa, sự khiêu vũ/v:nhảy múa, khiêu vũ
element;/ˈel.ɪ.mənt/;n:yếu tố, nguyên tố
energy;/ˈen.ə.dʒi/;n:năng lượng, nghị lực, sinh lực
broke;/brəʊk/;adj:khánh kiệt, túng quẫn, bần cùng
each;/iːtʃ/;det:mỗi/pron:mỗi
eye;/aɪ/;n:mắt
as;/æz/;prep:như/adv:như/conj:như
dictionary;/ˈdɪk.ʃən.ər.i/;n:từ điển
animal;/ˈæn.ɪ.məl/;n:động vật, thú vật
except;/ɪkˈsept/;prep:trừ ra, không kể/conj:trừ phi
circle;/ˈsɜː.kəl/;n:đường tròn, hình tròn
drive;/draɪv/;v:lái, đua xe/n:cuộc đua xe (điều khiển)
brother;/ˈbrʌð.ər/;n:anh, em trai
continent;/ˈkɒn.tɪ.nənt/;n:lục địa, đại lục
compare;/kəmˈpeər/;v:so sánh, đối chiếu
deal;/diːl/;v:phân phát, phân phối/n:sự giao dịch, thỏa thuận mua bán
cut;/kʌt/;v:cắt, chặt/n:sự cắt,vết cắt
dead;/ded/;adj:chết, tắt
enemy;/ˈen.ə.mi/;n:kẻ thù, quân địch
believe;/bɪˈliːv/;v:tin, tin tưởng
dollar;/ˈdɒl.ər/;n:đô la Mỹ
example;/ɪɡˈzɑːm.pəl/;n:thí dụ, ví dụ
current;/ˈkʌr.ənt/;adj:hiện hành, phổ biến, hiện nay/n:dòng (nước), luống (gió)
does;/dʌz/;n:hươu cái, hoãng cái, nai cái
by;/baɪ/;adv:bởi, bằng
after;/ˈɑːf.tər/;prep:đằng sau/conj:sau/adv:sau khi
dear;/dɪər/;adj:thân, thân mến, kính thưa
arm;/ɑːm/;n:cánh tay, vũ trang/v:trang bị (vũ khí)
close;/kləʊz/;adj:đóng kín, chật chội/v:che đậy, đóng, khép, kết thúc, chấm dứt
connect;/kəˈnekt/;v:kết nối, nối
equate;/ɪˈkweɪt/;v:làm cân bằng, san bằng
art;/ɑːt/;n:nghệ thuật, mỹ thuật
charge;/tʃɑːdʒ/;n:nhiệm vụ, bổn phận, trách nhiệm/v:giao nhiệm vụ, giao việc
contain;/kənˈteɪn/;v:bao hàm, chứa đựng, bao gồm
black;/blæk/;adj:đen, mang màu đen/n:màu đen
column;/ˈkɒl.əm/;n:cột, mục (báo)
blood;/blʌd/;n:máu, huyết
call;/kɔːl/;v:gọi/n:tiếng kêu, tiếng gọi
appear;/əˈpɪər/;v:xuất hiện, hiện ra, trình diện
abandon;/əˈbæn.dən/;v:bỏ, từ bỏ
answer;/ˈɑːn.sər/;n:sự trả lời, câu trả lời/v:trả lời
blue;/bluː/;adj:xanh/n:màu xanh
afraid;/əˈfreɪd/;adj:sợ, sợ hãi, hoảng sợ
ask;/ɑːsk/;v:hỏi
describe;/dɪˈskraɪb/;v:diễn tả, miêu tả, mô tả
desert;/ˈdez.ət/;n:sa mạc, công lao, giá trị/v:rời bỏ, bỏ trốn
chart;/tʃɑːt/;n:đồ thị, biểu đồ/v:vẽ đồ thị, lập biểu đồ
discuss;/dɪˈskʌs/;v:thảo luận, tranh luận
bed;/bed/;n:cái giường
but;/bʌt/;conj:nhưng
country;/ˈkʌn.tri/;n:nước, quốc gia, đất nước
die;/daɪ/;v:chết, từ trần, hy sinh
beauty;/ˈbjuː.ti/;n:vẻ đẹp, cái đẹp, người đẹp
correct;/kəˈrekt/;adj:đúng, chính xác/v:sửa, sửa chữa
buy;/baɪ/;v:mua
do;/du/;v:làm
down;/daʊn/;adv:xuống/prep:xuống, bên dưới
act;/ækt/;n:hành động, hành vi/v:đối xử
continue;/kənˈtɪn.juː/;v:tiếp tục, làm tiếp
duck;/dʌk/;n:con vịt, vịt cái
bird;/bɜːd/;n:con chim
add;/æd/;v:cộng, thêm vào
area;/ˈeə.ri.ə/;n:diện tích, bề mặt
count;/kaʊnt/;v:đếm, tính
degree;/dɪˈɡriː/;n:mức độ, trình độ, bằng cấp, độ
check;/tʃek/;v:kiểm tra/n:sự kiểm tra
develop;/dɪˈvel.əp/;v:phát triển, mở rộng, trình bày, bày tỏ
brown;/braʊn/;adj:nâu/n:màu nâu
camp;/kæmp/;v:cắm trại/n:chỗ cắm trại, trại
especially;/ɪˈspeʃ.əl.i/;adv:đặc biệt là, nhất là
carry;/ˈkær.i/;v:mang, vác, khuân chở
decimal;/ˈdes.ɪ.məl/;adj:theo hệ thập phân/n:số thập phân
crop;/krɒp/;n:vụ mùa
coin;/kɔɪn/;n:đồng xu
child;/tʃaɪld/;n:đứa bé, đứa trẻ (số ít)
allow;/əˈlaʊ/;v:cho phép, để cho
drop;/drɒp/;v:chảy nhỏ giọt, rơi, rớt/n:giọt (nước, máu...)
deep;/diːp/;adj:sâu/adv:khó lường, bí ẩn
color;/ˈkʌl.ər/;n:màu sắc
book;/bʊk/;n:sách/v:ghi chép
back;/bæk/;n:lưng/v:về phía sau, trở lại/adj:trở lại
choose;/tʃuːz/;v:chọn, lựa chọn
cold;/kəʊld/;adj:lạnh (nhiệt độ), lạnh nhạt/n:cái lạnh, cảm lạnh
apple;/ˈæp.əl/;n:quả táo
common;/ˈkɒm.ən/;adj:công, công cộng, thông thường, phổ biến
engine;/ˈen.dʒɪn/;n:máy, động cơ
arrive;/əˈraɪv/;v:đến, tới nơi
company;/ˈkʌm.pə.ni/;n:công ty
divide;/dɪˈvaɪd/;v:chia, chia ra, phân ra
end;/end/;n:giới hạn, sự kết thúc/v:kết thúc, chấm dứt
class;/klɑːs/;n:lớp học
every;/ˈev.ri/;det:mỗi, mọi
early;/ˈɜː.li/;adj:sớm/adv:sớm
again;/əˈɡen/;adv:lại, nữa, lần nữa
center;/ˈsen.tər/;n:trung tâm
bone;/bəʊn/;n:xương
better;/ˈbet.ər/;adj:tốt hơn
equal;/ˈiː.kwəl/;adj:ngang, bằng/n:người ngang hàng, ngang tài, sức/v:bằng, ngang
